RegionType,Name,2008_Avg,2009_Avg,2010_Avg,2011_Avg,2012_Avg,2013_Avg,2014_Avg,2015_Avg,2016_Avg,2017_Avg,2018_Avg,2019_Avg,2020_Avg,2021_Avg
MetroArea,"Greeley, CO",4.8,6.816666667,6.558333333,5.783333333,5.183333333,3.841666667,2.675,2.383333333,2.416666667,2.616666667,2.091666667,2.1,1.7,1.2
MetroArea,"Green Bay, WI",2.925,3.983333333,4.116666667,3.758333333,3.65,3.075,2.758333333,2.291666667,2.033333333,1.866666667,1.675,1.683333333,1.191666667,0.766666667
MetroArea,"Greensboro-High Point, NC",5.833333333,8.266666667,9.133333333,8.541666667,8.408333333,6.9,6.141666667,5.7,5.075,4.6,4.066666667,3.708333333,2.533333333,1.933333333
MetroArea,"Greenville, NC",4.975,6.766666667,7.141666667,6.741666667,6.7,6.1,5.316666667,4.758333333,3.883333333,4.075,3.758333333,3.583333333,2.416666667,1.633333333
MetroArea,"Greenville-Anderson-Mauldin, SC",5.441666667,7.15,7.758333333,7.333333333,6.816666667,5.925,5.05,4.658333333,4.341666667,3.833333333,3.725,3.616666667,2.533333333,2.066666667
MetroArea,"Gulfport-Biloxi-Pascagoula, MS",6.666666667,9.191666667,9.925,9.058333333,9.841666667,8.616666667,6.633333333,6.208333333,5.75,5.475,5.191666667,5.091666667,3.341666667,1.9
MetroArea,"Hagerstown-Martinsburg, MD-WV",6.083333333,8.816666667,8.966666667,8.775,8.333333333,7.133333333,6.008333333,5.5,5.016666667,4.791666667,4.508333333,4.341666667,3.091666667,2.033333333
MetroArea,"Harrisburg-Carlisle, PA",4.025,5.091666667,5.808333333,5.966666667,6.033333333,5.466666667,4.608333333,3.933333333,3.35,3.15,2.975,2.566666667,1.775,1.233333333
MetroArea,"Hartford-West Hartford-East Hartford, CT",4.266666667,6.25,6.683333333,6.758333333,7.066666667,6.041666667,4.916666667,4.383333333,4.125,3.683333333,3.291666667,3.241666667,2.3,1.5
MetroArea,"Hickory-Lenoir-Morganton, NC",5.833333333,7.558333333,8.558333333,7.158333333,7.758333333,6.741666667,5.375,4.833333333,4.666666667,4.958333333,4.15,3.85,2.941666667,2.366666667
MetroArea,"Hilton Head Island-Bluffton-Beaufort, SC",4.108333333,7.033333333,8.283333333,8.033333333,6.841666667,5.65,4.508333333,4.2,3.1,3.241666667,2.666666667,2.216666667,1.591666667,1.1
